Date,Close
2020-10-12,89.7876968383789
2020-10-13,90.7853012084961
2020-10-14,89.28890228271484
2020-10-15,90.7853012084961
2020-10-16,88.79010009765625
2020-10-19,91.78299713134766
2020-10-20,91.78299713134766
2020-10-21,86.7947998046875
2020-10-22,89.28890228271484
2020-10-23,89.7876968383789
2020-10-26,89.28890228271484
2020-10-27,89.7876968383789
2020-10-28,89.7876968383789
2020-10-29,86.7947998046875
2020-10-30,86.7947998046875
2020-11-02,85.7970962524414
2020-11-03,87.79239654541016
2020-11-04,87.79239654541016
2020-11-05,89.7876968383789
2020-11-06,92.78060150146484
2020-11-09,93.27940368652344
