Date,Open,High,Low,Close,Adj Close,Volume
2024-01-08,37.5,39.0,36.0,37.5,37.5,55770
2024-01-09,37.5,40.0,39.0,39.5,39.5,342268
2024-01-10,39.5,40.0,35.0,36.0,36.0,224850
2024-01-11,36.0,38.0,35.0,36.0,36.0,119165
2024-01-12,36.5,37.0,34.150001525878906,35.0,35.0,208940
